Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
FUI1	YBL042C	chr2	140576	-	56
PRE7	YBL041W	chr2	141472	+	35
ERD2	YBL040C	chr2	143172	-	43
MIN6	YBL039W-B	chr2	143369	+	285
URA7	YBL039C	chr2	146043	-	54
MRPL16	YBL038W	chr2	146353	+	74
APL3	YBL037W	chr2	147369	+	80
YBL036C	YBL036C	chr2	151476	-	16
POL12	YBL035C	chr2	153931	-	81
STU1	YBL034C	chr2	158691	-	62
RIB1	YBL033C	chr2	159961	-	28
HEK2	YBL032W	chr2	160334	+	90
PET9	YBL030C	chr2	164377	-	140
YBL029C-A	YBL029C-A	chr2	165109	-	97
YBL029W	YBL029W	chr2	166329	+	31
YBL028C	YBL028C	chr2	168111	-	47
RPL19B	YBL027W	chr2	168624	+	19
LSM2	YBL026W	chr2	170778	+	65
RRN10	YBL025W	chr2	171638	+	63
NCL1	YBL024W	chr2	172731	+	23
MCM2	YBL023C	chr2	177792	-	53
PIM1	YBL022C	chr2	181615	-	127
HAP3	YBL021C	chr2	182339	-	32
RFT1	YBL020W	chr2	182532	+	82
APN2	YBL019W	chr2	184534	+	32
POP8	YBL018C	chr2	186718	-	31
PEP1	YBL017C	chr2	192004	-	208
FUS3	YBL016W	chr2	192636	+	28
ACH1	YBL015W	chr2	194256	+	77
RRN6	YBL014C	chr2	202662	-	29
FMT1	YBL013W	chr2	202921	+	20
SCT1	YBL011W	chr2	204352	+	71
YBL010C	YBL010C	chr2	207861	-	30
ALK2	YBL009W	chr2	208041	+	34
HIR1	YBL008W	chr2	210457	+	77
SLA1	YBL007C	chr2	217304	-	55
LDB7	YBL006C	chr2	218043	-	31
PDR3	YBL005W	chr2	218271	+	82
UTP20	YBL004W	chr2	223166	+	107
HTA2	YBL003C	chr2	231456	-	27
HTB2	YBL002W	chr2	232105	+	23
ECM15	YBL001C	chr2	233114	-	11
NTH2	YBR001C	chr2	237059	-	141
RER2	YBR002C	chr2	238237	-	34
COQ1	YBR003W	chr2	238412	+	32
RCR1	YBR005W	chr2	241454	+	89
UGA2	YBR006W	chr2	242517	+	130
DSF2	YBR007C	chr2	246743	-	90
FLR1	YBR008C	chr2	250062	-	218
HHF1	YBR009C	chr2	251358	-	39
HHT1	YBR010W	chr2	251939	+	28
IPP1	YBR011C	chr2	253642	-	31
YBR013C	YBR013C	chr2	255742	-	142
GRX7	YBR014C	chr2	257138	-	83
MNN2	YBR015C	chr2	259315	-	93
YBR016W	YBR016W	chr2	259930	+	36
KAP104	YBR017C	chr2	263459	-	47
FUR4	YBR021W	chr2	271081	+	59
POA1	YBR022W	chr2	273373	+	62
CHS3	YBR023C	chr2	277766	-	144
SCO2	YBR024W	chr2	279050	+	92
OLA1	YBR025C	chr2	281599	-	37
ETR1	YBR026C	chr2	283785	-	68
YPK3	YBR028C	chr2	285756	-	56
CDS1	YBR029C	chr2	287461	-	35
RKM3	YBR030W	chr2	287907	+	69
RPL4A	YBR031W	chr2	289812	+	16
EDS1	YBR033W	chr2	291480	+	124
HMT1	YBR034C	chr2	295659	-	23
PDX3	YBR035C	chr2	296645	-	30
CSG2	YBR036C	chr2	300021	-	48
SCO1	YBR037C	chr2	301146	-	34
CHS2	YBR038W	chr2	301507	+	51
ATP3	YBR039W	chr2	305199	+	36
FAT1	YBR041W	chr2	307859	+	53
CST26	YBR042C	chr2	311291	-	36
QDR3	YBR043C	chr2	313740	-	149
TCM62	YBR044C	chr2	315788	-	83
ZTA1	YBR046C	chr2	321188	-	31
FMP23	YBR047W	chr2	321426	+	53
RPS11B	YBR048W	chr2	322457	+	20
REB1	YBR049C	chr2	326603	-	139
REG2	YBR050C	chr2	327891	-	46
RFS1	YBR052C	chr2	329059	-	61
YBR053C	YBR053C	chr2	330421	-	24
YRO2	YBR054W	chr2	332433	+	314
PRP6	YBR055C	chr2	336968	-	21
YBR056W	YBR056W	chr2	337455	+	70
MNC1	YBR056W-A	chr2	340874	+	27
MUM2	YBR057C	chr2	343029	-	90
UBP14	YBR058C	chr2	345673	-	22
TSC3	YBR058C-A	chr2	346259	-	59
AKL1	YBR059C	chr2	349954	-	133
ORC2	YBR060C	chr2	352235	-	87
TRM7	YBR061C	chr2	355360	-	7
YBR062C	YBR062C	chr2	356244	-	10
ECM2	YBR065C	chr2	359354	-	42
NRG2	YBR066C	chr2	360389	-	56
TIP1	YBR067C	chr2	362420	-	51
BAP2	YBR068C	chr2	365386	-	62
TAT1	YBR069C	chr2	368172	-	105
ALG14	YBR070C	chr2	369589	-	21
YBR071W	YBR071W	chr2	369973	+	72
HSP26	YBR072W	chr2	371590	+	74
RDH54	YBR073W	chr2	372773	+	-28
PFF1	YBR074W	chr2	375906	+	5
SLM4	YBR077C	chr2	381956	-	40
ECM33	YBR078W	chr2	382569	+	176
RPG1	YBR079C	chr2	387924	-	25
SEC18	YBR080C	chr2	390538	-	26
SPT7	YBR081C	chr2	395019	-	146
UBC4	YBR082C	chr2	396868	-	77
TEC1	YBR083W	chr2	398744	+	47
MIS1	YBR084W	chr2	400662	+	14
RPL19A	YBR084C-A	chr2	404937	-	54
AAC3	YBR085W	chr2	405530	+	75
YBR085C-A	YBR085C-A	chr2	408815	-	29
IST2	YBR086C	chr2	412966	-	303
RFC5	YBR087W	chr2	413376	+	11
POL30	YBR088C	chr2	415431	-	43
NHP6B	YBR089C-A	chr2	416521	-	410
TIM12	YBR091C	chr2	417147	-	41
PBY1	YBR094W	chr2	419752	+	56
RXT2	YBR095C	chr2	423510	-	40
YBR096W	YBR096W	chr2	423711	+	82
VPS15	YBR097W	chr2	424692	+	31
MMS4	YBR098W	chr2	429264	+	23
FES1	YBR101C	chr2	432486	-	24
EXO84	YBR102C	chr2	435170	-	78
SIF2	YBR103W	chr2	435341	+	137
YMC2	YBR104W	chr2	437376	+	60
VID24	YBR105C	chr2	439778	-	40
SND3	YBR106W	chr2	440391	+	36
IML3	YBR107C	chr2	442320	-	21
AIM3	YBR108W	chr2	442551	+	40
CMD1	YBR109C	chr2	446175	-	44
ALG1	YBR110W	chr2	446593	+	48
YSA1	YBR111C	chr2	449634	-	-8
SUS1	YBR111W-A	chr2	449880	+	28
CYC8	YBR112C	chr2	453738	-	202
RAD16	YBR114W	chr2	454926	+	88
LYS2	YBR115C	chr2	461725	-	33
TKL2	YBR117C	chr2	464244	-	41
TEF2	YBR118W	chr2	465415	+	22
MUD1	YBR119W	chr2	467054	+	50
CBP6	YBR120C	chr2	468759	-	70
GRS1	YBR121C	chr2	471200	-	67
MRPL36	YBR122C	chr2	472309	-	40
TFC1	YBR123C	chr2	474520	-	63
PTC4	YBR125C	chr2	476325	-	179
TPS1	YBR126C	chr2	478265	-	107
MEO1	YBR126W-A	chr2	478593	+	23
VMA2	YBR127C	chr2	480637	-	49
OPY1	YBR129C	chr2	483140	-	35
SHE3	YBR130C	chr2	484695	-	60
CCZ1	YBR131W	chr2	484899	+	30
AGP2	YBR132C	chr2	489349	-	152
HSL7	YBR133C	chr2	492162	-	120
CKS1	YBR135W	chr2	492515	+	94
MEC1	YBR136W	chr2	493372	+	51
YBR137W	YBR137W	chr2	500737	+	62
YBR138C	YBR138C	chr2	503180	-	89
ATG42	YBR139W	chr2	503408	+	11
IRA1	YBR140C	chr2	514683	-	300
BMT2	YBR141C	chr2	515813	-	20
MAK5	YBR142W	chr2	516025	+	47
SUP45	YBR143C	chr2	519973	-	36
ADH5	YBR145W	chr2	521476	+	41
MRPS9	YBR146W	chr2	522943	+	72
RTC2	YBR147W	chr2	524305	+	25
ARA1	YBR149W	chr2	527698	+	44
TBS1	YBR150C	chr2	532261	-	13
APD1	YBR151W	chr2	532675	+	108
SPP381	YBR152W	chr2	534063	+	68
RIB7	YBR153W	chr2	535151	+	64
RPB5	YBR154C	chr2	536855	-	91
CNS1	YBR155W	chr2	537489	+	37
SLI15	YBR156C	chr2	541010	-	55
ICS2	YBR157C	chr2	542151	-	86
AMN1	YBR158W	chr2	544041	+	263
IFA38	YBR159W	chr2	546399	+	41
CDC28	YBR160W	chr2	547755	+	78
CSH1	YBR161W	chr2	549353	+	22
TOS1	YBR162C	chr2	552436	-	136
YSY6	YBR162W-A	chr2	552944	+	17
EXO5	YBR163W	chr2	553351	+	102
ARL1	YBR164C	chr2	556265	-	109
UBS1	YBR165W	chr2	556490	+	92
TYR1	YBR166C	chr2	558973	-	43
POP7	YBR167C	chr2	559656	-	36
PEX32	YBR168W	chr2	560070	+	31
SSE2	YBR169C	chr2	563751	-	25
NPL4	YBR170C	chr2	565866	-	50
SEC66	YBR171W	chr2	566068	+	26
SMY2	YBR172C	chr2	569197	-	95
UMP1	YBR173C	chr2	569924	-	22
SWD3	YBR175W	chr2	570135	+	3
ECM31	YBR176W	chr2	571332	+	118
EHT1	YBR177C	chr2	573925	-	33
FZO1	YBR179C	chr2	576903	-	59
RPS6B	YBR181C	chr2	580543	-	39
YPC1	YBR183W	chr2	583790	+	55
MBA1	YBR185C	chr2	587708	-	19
GDT1	YBR187W	chr2	590235	+	129
NTC20	YBR188C	chr2	591912	-	75
RPS9B	YBR189W	chr2	592196	+	42
RPL21A	YBR191W	chr2	593933	+	67
RIM2	YBR192W	chr2	595219	+	163
MED8	YBR193C	chr2	597524	-	41
AIM4	YBR194W	chr2	597656	+	112
MSI1	YBR195C	chr2	599658	-	46
PGI1	YBR196C	chr2	601672	-	42
YBR197C	YBR197C	chr2	603597	-	11
TAF5	YBR198C	chr2	606331	-	78
KTR4	YBR199W	chr2	606546	+	93
BEM1	YBR200W	chr2	608547	+	55
DER1	YBR201W	chr2	611172	+	134
MIN7	YBR201C-A	chr2	612490	-	64
MCM7	YBR202W	chr2	613472	+	30
COS111	YBR203W	chr2	616703	+	195
LDH1	YBR204C	chr2	621155	-	44
KTR3	YBR205W	chr2	621305	+	47
FTH1	YBR207W	chr2	622824	+	52
DUR1,2	YBR208C	chr2	630399	-	459
ERV15	YBR210W	chr2	639116	+	34
AME1	YBR211C	chr2	640807	-	97
NGR1	YBR212W	chr2	641347	+	116
MET8	YBR213W	chr2	643865	+	70
SDS24	YBR214W	chr2	644903	+	79
HPC2	YBR215W	chr2	646883	+	41
YBP1	YBR216C	chr2	651204	-	33
ATG12	YBR217W	chr2	651356	+	47
PYC2	YBR218C	chr2	655963	-	143
YBR220C	YBR220C	chr2	658330	-	82
PDB1	YBR221C	chr2	660029	-	205
PCS60	YBR222C	chr2	661964	-	42
TDP1	YBR223C	chr2	663894	-	26
YBR225W	YBR225W	chr2	664063	+	135
MCX1	YBR227C	chr2	668763	-	58
SLX1	YBR228W	chr2	668949	+	-66
ROT2	YBR229C	chr2	672814	-	24
OM14	YBR230C	chr2	673658	-	38
COQ21	YBR230W-A	chr2	673906	+	24
SWC5	YBR231C	chr2	676717	-	57
PBP2	YBR233W	chr2	676878	+	120
DAD3	YBR233W-A	chr2	678518	+	30
ARC40	YBR234C	chr2	680199	-	37
VHC1	YBR235W	chr2	680390	+	81
ABD1	YBR236C	chr2	685313	-	50
PRP5	YBR237W	chr2	685483	+	56
YBR238C	YBR238C	chr2	690965	-	91
ERT1	YBR239C	chr2	693661	-	149
THI2	YBR240C	chr2	695740	-	324
YBR241C	YBR241C	chr2	697654	-	29
YBR242W	YBR242W	chr2	698081	+	159
ALG7	YBR243C	chr2	700395	-	32
ISW1	YBR245C	chr2	704953	-	-156
RRT2	YBR246W	chr2	705126	+	35
ENP1	YBR247C	chr2	708058	-	33
HIS7	YBR248C	chr2	710123	-	88
ARO4	YBR249C	chr2	711654	-	90
MRPS5	YBR251W	chr2	714901	+	59
DUT1	YBR252W	chr2	716163	+	18
SRB6	YBR253W	chr2	716779	+	61
TRS20	YBR254C	chr2	717837	-	3
MTC4	YBR255W	chr2	717994	+	33
RCF3	YBR255C-A	chr2	720686	-	41
RIB5	YBR256C	chr2	721708	-	35
SHG1	YBR258C	chr2	723756	-	23
YBR259W	YBR259W	chr2	723909	+	49
RGD1	YBR260C	chr2	728222	-	12
TAE1	YBR261C	chr2	729126	-	25
MIC12	YBR262C	chr2	729646	-	35
SHM1	YBR263W	chr2	729795	+	40
YPT10	YBR264C	chr2	731965	-	25
TSC10	YBR265W	chr2	732117	+	36
REI1	YBR267W	chr2	733400	+	12
MRPL37	YBR268W	chr2	734866	+	4
SDH8	YBR269C	chr2	736168	-	21
EFM2	YBR271W	chr2	738397	+	26
HSM3	YBR272C	chr2	741382	-	15
UBX7	YBR273C	chr2	742966	-	31
CHK1	YBR274W	chr2	743108	+	50
RIF1	YBR275C	chr2	750784	-	114
PPS1	YBR276C	chr2	753702	-	95
DPB3	YBR278W	chr2	753833	+	25
PAF1	YBR279W	chr2	754793	+	28
SAF1	YBR280C	chr2	758284	-	23
DUG2	YBR281C	chr2	761211	-	41
MRPL27	YBR282W	chr2	761757	+	47
SSH1	YBR283C	chr2	764123	-	144
YBR285W	YBR285W	chr2	767401	+	85
APE3	YBR286W	chr2	768251	+	13
YBR287W	YBR287W	chr2	770102	+	33
APM3	YBR288C	chr2	773072	-	45
SNF5	YBR289W	chr2	773194	+	37
BSD2	YBR290W	chr2	776140	+	15
CTP1	YBR291C	chr2	778172	-	36
VBA2	YBR293W	chr2	780657	+	-87
SUL1	YBR294W	chr2	782702	+	97
PCA1	YBR295W	chr2	786373	+	40
PHO89	YBR296C	chr2	792152	-	66
MAL33	YBR297W	chr2	794037	+	50
CHA1	YCL064C	chr3	16542	-	19
VAC17	YCL063W	chr3	16893	+	40
MRC1	YCL061C	chr3	21815	-	66
KRR1	YCL059C	chr3	23049	-	25
ADF1	YCL058W-A	chr3	23207	+	22
MIC10	YCL057C-A	chr3	24000	-	30
PRD1	YCL057W	chr3	24410	+	3
PEX34	YCL056C	chr3	27006	-	2
KAR4	YCL055W	chr3	27546	+	15
RDT1	YCL054W-A	chr3	30496	+	35
SPB1	YCL054W	chr3	31053	+	17
PBN1	YCL052C	chr3	35057	-	43
LRE1	YCL051W	chr3	35191	+	295
APA1	YCL050C	chr3	38484	-	62
YCL049C	YCL049C	chr3	40400	-	55
YCL048W-A	YCL048W-A	chr3	41056	+	53
POF1	YCL047C	chr3	44063	-	18
EMC1	YCL045C	chr3	46538	-	40
MGR1	YCL044C	chr3	47991	-	34
PDI1	YCL043C	chr3	49851	-	37
GLK1	YCL040W	chr3	50389	+	42
GID7	YCL039W	chr3	52218	+	20
ATG22	YCL038C	chr3	56176	-	56
SRO9	YCL037C	chr3	58321	-	67
GFD2	YCL036W	chr3	58602	+	0
GRX1	YCL035C	chr3	60813	-	64
LSB5	YCL034W	chr3	61213	+	21
MXR2	YCL033C	chr3	62808	-	-50
STE50	YCL032W	chr3	62987	+	30
RRP7	YCL031C	chr3	65177	-	33
HIS4	YCL030C	chr3	67969	-	60
BIK1	YCL029C	chr3	69532	-	35
RNQ1	YCL028W	chr3	69688	+	38
FUS1	YCL027W	chr3	71358	+	21
HBN1	YCL026C-B	chr3	73597	-	35
AGP1	YCL025C	chr3	77526	-	31
KCC4	YCL024W	chr3	78676	+	62
LEU2	YCL018W	chr3	96481	+	0
NFS1	YCL017C	chr3	99522	-	94
DCC1	YCL016C	chr3	100953	-	32
BUD3	YCL014W	chr3	101336	+	103
YCL012C	YCL012C	chr3	106946	-	0
GBP2	YCL011C	chr3	108551	-	44
SGF29	YCL010C	chr3	109519	-	20
ILV6	YCL009C	chr3	110712	-	15
STP22	YCL008C	chr3	112013	-	11
VMA9	YCL005W-A	chr3	112147	+	25
LDB16	YCL005W	chr3	113124	+	46
PGS1	YCL004W	chr3	114176	+	78
YCL002C	YCL002C	chr3	116861	-	37
RER1	YCL001W	chr3	117039	+	26
CDC10	YCR002C	chr3	123552	-	55
MRPL32	YCR003W	chr3	123747	+	22
YCP4	YCR004C	chr3	125649	-	182
CIT2	YCR005C	chr3	127537	-	60
YCR006C	YCR006C	chr3	128138	-	-14
SAT4	YCR008W	chr3	133137	+	482
RVS161	YCR009C	chr3	136747	-	56
ADY2	YCR010C	chr3	138385	-	112
ADP1	YCR011C	chr3	142150	-	128
PGK1	YCR012W	chr3	142855	+	40
CTO1	YCR015C	chr3	147343	-	24
YCR016W	YCR016W	chr3	148757	+	26
CWH43	YCR017C	chr3	152812	-	29
MAK32	YCR019W	chr3	160729	+	115
MAK31	YCR020C-A	chr3	163121	-	18
HTL1	YCR020W-B	chr3	163295	+	32
HSP30	YCR021C	chr3	165214	-	100
YCR023C	YCR023C	chr3	168442	-	62
SLM5	YCR024C	chr3	170248	-	19
PMP1	YCR024C-A	chr3	171226	-	153
NPP1	YCR026C	chr3	174402	-	55
RHB1	YCR027C	chr3	176182	-	175
FEN2	YCR028C	chr3	185774	-	99
RIM1	YCR028C-A	chr3	186731	-	40
SYP1	YCR030C	chr3	189774	-	85
RPS14A	YCR031C	chr3	191492	-	21
BPH1	YCR032W	chr3	192645	+	126
SNT1	YCR033W	chr3	199518	+	222
ELO2	YCR034W	chr3	203817	+	26
RRP43	YCR035C	chr3	206287	-	18
RBK1	YCR036W	chr3	206531	+	17
PHO87	YCR037C	chr3	210480	-	44
TAF2	YCR042C	chr3	218561	-	23
YCR043C	YCR043C	chr3	219818	-	33
PER1	YCR044C	chr3	221098	-	7
IMG1	YCR046C	chr3	223570	-	6
BUD23	YCR047C	chr3	224793	-	107
ARE1	YCR048W	chr3	225061	+	44
YCR051W	YCR051W	chr3	227206	+	24
RSC6	YCR052W	chr3	228120	+	33
THR4	YCR053W	chr3	229814	+	41
CTR86	YCR054C	chr3	233295	-	70
PWP2	YCR057C	chr3	236450	-	62
YIH1	YCR059C	chr3	237408	-	19
TAH1	YCR060W	chr3	237539	+	25
YCR061W	YCR061W	chr3	238712	+	25
BUD31	YCR063W	chr3	241463	+	31
HCM1	YCR065W	chr3	242404	+	75
SED4	YCR067C	chr3	249647	-	102
ATG15	YCR068W	chr3	250283	+	154
CPR4	YCR069W	chr3	252154	+	124
IMG2	YCR071C	chr3	253811	-	45
RSA4	YCR072C	chr3	255600	-	25
SSK22	YCR073C	chr3	259871	-	65
SOL2	YCR073W-A	chr3	260173	+	13
ERS1	YCR075C	chr3	262046	-	10
EGO2	YCR075W-A	chr3	262182	+	14
FUB1	YCR076C	chr3	263242	-	1
PAT1	YCR077C	chr3	265866	-	42
PTC6	YCR079W	chr3	266018	+	23
SRB8	YCR081W	chr3	267547	+	20
AHC2	YCR082W	chr3	272049	+	30
TRX3	YCR083W	chr3	272739	+	35
TUP1	YCR084C	chr3	275895	-	225
CSM1	YCR086W	chr3	276560	+	50
YCR087C-A	YCR087C-A	chr3	277721	-	36
ABP1	YCR088W	chr3	278240	+	46
FIG2	YCR089W	chr3	280356	+	298
YCR090C	YCR090C	chr3	286818	-	15
KIN82	YCR091W	chr3	288277	+	59
MSH3	YCR092C	chr3	293788	-	36
CDC39	YCR093W	chr3	294019	+	30
CDC50	YCR094W	chr3	300644	+	53
OCA4	YCR095C	chr3	303234	-	41
YCR101C	YCR101C	chr3	317060	-	4
MPH2	YDL247W	chr4	5787	+	84
SOR2	YDL246C	chr4	8964	-	-678
AAD4	YDL243C	chr4	18771	-	319
LRG1	YDL240W	chr4	22535	+	172
GUD1	YDL238C	chr4	30359	-	21
AIM6	YDL237W	chr4	30509	+	32
PHO13	YDL236W	chr4	32119	+	61
YPD1	YDL235C	chr4	33925	-	123
GYP7	YDL234C	chr4	36504	-	143
MFG1	YDL233W	chr4	36665	+	16
OST4	YDL232W	chr4	38352	+	19
BRE4	YDL231C	chr4	42239	-	111
PTP1	YDL230W	chr4	42554	+	30
SSB1	YDL229W	chr4	43912	+	30
HO	YDL227C	chr4	47947	-	39
GCS1	YDL226C	chr4	52077	-	27
SHS1	YDL225W	chr4	52272	+	50
WHI4	YDL224C	chr4	56587	-	364
HBT1	YDL223C	chr4	60790	-	508
FMP45	YDL222C	chr4	61780	-	102
CDC13	YDL220C	chr4	64915	-	20
DTD1	YDL219W	chr4	65104	+	15
YDL218W	YDL218W	chr4	66341	+	29
TIM22	YDL217C	chr4	68643	-	160
RRI1	YDL216C	chr4	70206	-	10
GDH2	YDL215C	chr4	73841	-	46
PRR2	YDL214C	chr4	76549	-	127
NOP6	YDL213C	chr4	77862	-	19
SHR3	YDL212W	chr4	78281	+	22
YDL211C	YDL211C	chr4	80358	-	69
CWC2	YDL209C	chr4	87128	-	25
NHP2	YDL208W	chr4	87344	+	45
GLE1	YDL207W	chr4	88087	+	38
HEM3	YDL205C	chr4	93812	-	206
RTN2	YDL204W	chr4	94451	+	16
ACK1	YDL203C	chr4	97992	-	177
MRPL11	YDL202W	chr4	98293	+	44
TRM8	YDL201W	chr4	99352	+	71
MGT1	YDL200C	chr4	100965	-	36
YDL199C	YDL199C	chr4	103284	-	69
GGC1	YDL198C	chr4	104527	-	114
ASF2	YDL197C	chr4	106735	-	379
SEC31	YDL195W	chr4	106951	+	119
SNF3	YDL194W	chr4	111234	+	208
NUS1	YDL193W	chr4	114427	+	107
ARF1	YDL192W	chr4	116140	+	43
RPL35A	YDL191W	chr4	117477	+	49
UFD2	YDL190C	chr4	121649	-	195
RBS1	YDL189W	chr4	121885	+	193
PPH22	YDL188C	chr4	125042	-	182
VMA1	YDL185W	chr4	126514	+	117
YDL183C	YDL183C	chr4	131743	-	66
LYS20	YDL182W	chr4	133250	+	31
INH1	YDL181W	chr4	134937	+	86
YDL180W	YDL180W	chr4	135614	+	118
PCL9	YDL179W	chr4	137922	+	205
DLD2	YDL178W	chr4	139341	+	17
YDL177C	YDL177C	chr4	141621	-	64
YDL176W	YDL176W	chr4	141796	+	137
AIR2	YDL175C	chr4	145381	-	27
DLD1	YDL174C	chr4	147453	-	28
PAR32	YDL173W	chr4	147987	+	40
GLT1	YDL171C	chr4	155488	-	12
UGA3	YDL170W	chr4	156154	+	0
UGX2	YDL169C	chr4	158571	-	0
SFA1	YDL168W	chr4	159384	+	56
NRP1	YDL167C	chr4	163039	-	46
FAP7	YDL166C	chr4	163926	-	45
CDC36	YDL165W	chr4	164080	+	49
CDC9	YDL164C	chr4	167145	-	51
ENT1	YDL161W	chr4	167538	+	16
MHF2	YDL160C-A	chr4	169476	-	28
DHH1	YDL160C	chr4	172024	-	284
STE7	YDL159W	chr4	172245	+	46
