gene_id;gene_common;TATA_cen_pos;RNA.class;chrom;IIB_coor;TSS;strand;TATA_coor;mismatch;TBP;IIA;IIB;IID;IIE;IIF;IIH;IIK;Pol.II;gene_class_1;gene_class_2
YAL026C;DRS2;959;mRNA;chr01;99779;99791;C;99818;2_mis;20;59;95;541;190;121;142;154;34;TATA-less;TAF1-enriched
YAL027W;SAW1;932;mRNA;chr01;94566;94595;W;94545;0_mis;23;11;115;65;113;50;26;135;45;TATA-containing;TAF1-enriched
YAL028W;FRT2;928;mRNA;chr01;92825;92826;W;92786;2_mis;16;64;88;117;149;69;25;117;27;TATA-less;TAF1-enriched
YAL029C;MYO4;914;mRNA;chr01;92557;92495;C;92602;2_mis;27;36;253;153;349;133;110;421;25;TATA-less;TAF1-enriched
YAL030W;SNC1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL031C;GIP4;984;mRNA;chr01;87081;87079;C;87088;1_mis;36;44;121;150;160;89;54;192;40;TATA-less;TAF1-depleted
YAL032C;PRP45;935;mRNA;chr01;84513;84503;C;84553;2_mis;9;51;131;222;196;106;61;226;78;TATA-less;TAF1-enriched
YAL033W;POP5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL034C;FUN19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL034W-A;MTW1;940;mRNA;chr01;79663;79691;W;79635;1_mis;29;44;134;198;190;78;92;187;118;TATA-less;TAF1-enriched
YAL035W;FUN12;959;mRNA;chr01;76393;76371;W;76366;2_mis;63;185;743;354;834;274;239;902;91;TATA-less;TAF1-enriched
YAL036C;RBG1;913;mRNA;chr01;76211;76199;C;76265;1_mis;80;96;508;205;585;197;222;600;74;TATA-less;TAF1-enriched
YAL037W;YAL037W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL038W;CDC19;874;mRNA;chr01;71624;71739;W;71639;1_mis;305;599;4448;205;3956;1326;713;4520;310;TATA-less;TAF1-depleted
YAL039C;CYC3;966;mRNA;chr01;69610;69623;C;69628;1_mis;17;41;86;112;170;63;41;159;39;TATA-less;TAF1-enriched
YAL040C;CLN3;877;mRNA;chr01;67930;67847;C;67961;0_mis;85;91;914;80;576;177;144;573;63;TATA-containing;TAF1-depleted
YAL041W;CDC24;951;mRNA;chr01;62781;62779;W;62733;2_mis;42;107;207;608;369;157;187;364;106;TATA-less;TAF1-enriched
YAL042W;ERV46;931;mRNA;chr01;61266;61275;W;61237;1_mis;56;233;391;647;517;189;144;563;53;TATA-less;TAF1-enriched
YAL043C;PTA1;1004;mRNA;chr01;61084;61095;C;61073;1_mis;45;98;250;418;358;139;126;409;43;TATA-less;TAF1-enriched
YAL044C;GCV3;939;mRNA;chr01;58512;58487;C;58531;0_mis;47;140;226;588;586;232;188;672;119;TATA-containing;TAF1-depleted
YAL044W-A;BOL1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL046C;BOL3;929;mRNA;chr01;57422;57423;C;57448;0_mis;16;66;135;146;186;76;84;192;25;TATA-containing;TAF1-enriched
YAL047C;SPC72;927;mRNA;chr01;56892;57047;C;56953;0_mis;14;40;59;141;86;47;55;106;56;TATA-containing;TAF1-enriched
YAL049C;AIM2;927;mRNA;chr01;52680;52679;C;52718;1_mis;13;38;82;63;106;63;38;118;39;TATA-less;TAF1-enriched
YAL051W;OAF1;935;mRNA;chr01;48509;48525;W;48480;2_mis;31;67;151;152;224;92;97;249;48;TATA-less;TAF1-enriched
YAL053W;FLC2;920;mRNA;chr01;45712;45749;W;45685;2_mis;37;31;225;113;248;107;50;283;35;TATA-less;TAF1-depleted
YAL054C;ACS1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL055W;PEX22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL056W;GPB2;962;mRNA;chr01;39187;39205;W;39173;2_mis;29;112;184;163;340;167;135;335;76;TATA-less;TAF1-enriched
YAL058W;CNE1;911;mRNA;chr01;37368;37397;W;37332;2_mis;12;69;85;82;98;56;58;120;93;TATA-less;TAF1-enriched
YAL059W;ECM1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL060W;BDH1;898;mRNA;chr01;35035;35085;W;35011;0_mis;33;100;665;292;757;314;198;703;64;TATA-containing;TAF1-depleted
YAL061W;BDH2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL062W;GDH3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAR002C-A;ERP1;980;mRNA;chr01;154746;154766;C;154754;1_mis;69;64;248;158;247;113;102;241;63;TATA-less;TAF1-enriched
YAR002W;NUP60;939;mRNA;chr01;152212;152211;W;152160;1_mis;36;51;292;348;314;121;76;343;47;TATA-less;TAF1-enriched
YAR003W;SWD1;944;mRNA;chr01;154931;154923;W;154908;0_mis;39;72;215;141;211;93;72;217;26;TATA-containing;TAF1-enriched
YAR007C;RFA1;936;mRNA;chr01;158724;158703;C;158740;2_mis;40;88;256;229;378;148;100;349;40;TATA-less;TAF1-enriched
YAR008W;SEN34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAR014C;BUD14;975;mRNA;chr01;169032;169023;C;169040;2_mis;45;69;283;327;396;167;183;406;55;TATA-less;TAF1-enriched
YAR015W;ADE1;897;mRNA;chr01;169272;169259;W;169228;0_mis;44;90;880;167;571;252;220;810;88;TATA-containing;TAF1-depleted
YAR018C;KIN3;894;mRNA;chr01;171747;171711;C;171811;1_mis;22;38;148;120;202;80;42;212;40;TATA-less;TAF1-enriched
YAR020C;PAU7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAR023C;YAR023C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAR028W;YAR028W;928;mRNA;chr01;184826;184827;W;184810;1_mis;20;100;130;149;152;64;64;144;51;TATA-less;TAF1-enriched
YAR033W;MST28;925;mRNA;chr01;188024;188026;W;187986;2_mis;18;83;93;63;165;61;70;153;32;TATA-less;TAF1-enriched
YAR035W;YAT1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAR042W;SWH1;942;mRNA;chr01;192532;192532;W;192515;1_mis;22;49;168;188;127;64;33;134;39;TATA-less;TAF1-enriched
YAR071W;PHO11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL001C;ECM15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL002W;HTB2;821;mRNA;chr02;236320;236372;W;236296;0_mis;203;541;1577;33;2507;684;363;2292;165;TATA-containing;TAF1-depleted
YBL003C;HTA2;830;mRNA;chr02;235948;235840;C;235983;0_mis;363;1080;4969;171;5494;1494;840;5764;347;TATA-containing;TAF1-depleted
YBL004W;UTP20;958;mRNA;chr02;227508;227516;W;227493;2_mis;45;56;374;223;440;196;158;685;55;TATA-less;TAF1-enriched
YBL005W;PDR3;971;mRNA;chr02;217395;217404;W;217365;1_mis;13;59;220;77;222;106;55;246;46;TATA-less;TAF1-enriched
YBL006C;LDB7;965;mRNA;chr02;217150;217160;C;217189;2_mis;60;172;218;402;477;175;237;524;71;TATA-less;TAF1-enriched
YBL007C;SLA1;954;mRNA;chr02;216446;216480;C;216461;0_mis;56;229;294;368;335;167;153;271;188;TATA-containing;TAF1-enriched
YBL008W;HIR1;990;mRNA;chr02;209586;209556;W;209572;2_mis;21;72;54;109;99;41;36;119;31;TATA-less;TAF1-enriched
YBL009W;ALK2;965;mRNA;chr02;207148;207156;W;207131;1_mis;16;24;173;100;207;70;43;203;28;TATA-less;TAF1-enriched
YBL010C;YBL010C;993;mRNA;chr02;206967;206968;C;206980;1_mis;19;82;104;166;174;68;39;180;21;TATA-less;TAF1-enriched
YBL011W;SCT1;941;mRNA;chr02;203395;203428;W;203414;1_mis;38;96;343;219;239;116;103;284;39;TATA-less;TAF1-enriched
YBL013W;FMT1;942;mRNA;chr02;201988;201984;W;201984;2_mis;19;57;91;97;85;40;30;77;26;TATA-less;TAF1-enriched
YBL014C;RRN6;953;mRNA;chr02;201792;201791;C;201818;2_mis;22;134;204;347;271;89;122;330;57;TATA-less;TAF1-enriched
YBL015W;ACH1;924;mRNA;chr02;194004;194027;W;193975;0_mis;24;147;229;56;190;110;99;171;48;TATA-containing;TAF1-depleted
YBL016W;FUS3;938;mRNA;chr02;192354;192379;W;192367;0_mis;29;24;285;78;351;89;37;316;49;TATA-containing;TAF1-depleted
YBL017C;PEP1;974;mRNA;chr02;191780;191863;C;191811;1_mis;34;23;153;84;231;79;80;194;76;TATA-less;TAF1-enriched
YBL018C;POP8;923;mRNA;chr02;186544;186535;C;186576;1_mis;34;55;344;166;347;145;90;377;37;TATA-less;TAF1-enriched
YBL019W;APN2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL020W;RFT1;956;mRNA;chr02;182308;182323;W;182281;2_mis;38;148;270;161;317;111;130;268;53;TATA-less;TAF1-enriched
YBL021C;HAP3;930;mRNA;chr02;182144;182151;C;182190;1_mis;21;63;148;229;180;96;93;222;32;TATA-less;TAF1-enriched
YBL022C;PIM1;NA;mRNA;chr02;181380;181407;C;0;3_mis;53;102;180;290;378;170;153;373;108;TATA-less;TAF1-enriched
YBL023C;MCM2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL024W;NCL1;950;mRNA;chr02;172491;172483;W;172467;2_mis;39;61;530;236;347;165;117;473;71;TATA-less;TAF1-enriched
YBL025W;RRN10;1005;mRNA;chr02;171438;171419;W;171429;1_mis;30;35;140;91;156;64;39;149;73;TATA-less;TAF1-enriched
YBL026W;LSM2;981;mRNA;chr02;170581;170539;W;170545;1_mis;39;51;196;202;169;88;93;183;44;TATA-less;TAF1-enriched
YBL027W;RPL19B;944;mRNA;chr02;168375;168351;W;168354;2_mis;227;557;2775;849;3289;978;563;3714;201;TATA-less;TAF1-depleted
YBL028C;YBL028C;1004;mRNA;chr02;167894;167895;C;167875;1_mis;59;100;358;164;464;136;107;520;60;TATA-less;TAF1-enriched
YBL029C-A;YBL029C-A;978;mRNA;chr02;164857;164850;C;164885;1_mis;26;48;163;30;148;65;43;182;50;TATA-less;TAF1-depleted
YBL029W;YBL029W;882;mRNA;chr02;166010;166091;W;165991;0_mis;44;70;259;76;313;119;49;270;59;TATA-containing;TAF1-depleted
YBL030C;PET9;928;mRNA;chr02;164169;164143;C;164203;0_mis;51;131;414;127;474;122;63;348;72;TATA-containing;TAF1-depleted
YBL032W;HEK2;966;mRNA;chr02;160059;160091;W;160066;1_mis;49;182;331;547;470;177;152;386;53;TATA-less;TAF1-enriched
YBL033C;RIB1;936;mRNA;chr02;159750;159727;C;159779;0_mis;46;124;359;155;293;137;100;293;51;TATA-containing;TAF1-enriched
YBL034C;STU1;785;mRNA;chr02;158665;158719;C;158660;1_mis;26;77;75;32;134;69;63;143;48;TATA-less;TAF1-depleted
YBL035C;POL12;985;mRNA;chr02;153675;153671;C;153700;0_mis;14;24;180;83;102;50;26;110;52;TATA-containing;TAF1-enriched
YBL036C;YBL036C;942;mRNA;chr02;151265;151298;C;151288;1_mis;25;76;247;204;208;99;59;188;49;TATA-less;TAF1-enriched
YBL037W;APL3;962;mRNA;chr02;147113;147115;W;147097;1_mis;44;29;122;55;210;91;90;217;77;TATA-less;TAF1-depleted
YBL038W;MRPL16;1013;mRNA;chr02;146138;146115;W;146132;2_mis;34;131;263;115;323;124;118;314;80;TATA-less;TAF1-enriched
YBL039C;URA7;919;mRNA;chr02;145822;145815;C;145857;2_mis;40;75;757;223;607;189;142;762;56;TATA-less;TAF1-enriched
YBL039W-B;MIN6;1071;mRNA;chr02;143158;143321;W;143185;2_mis;12;26;58;53;69;34;26;108;13;TATA-less;TAF1-enriched
YBL040C;ERD2;942;mRNA;chr02;142933;142927;C;142963;1_mis;44;122;373;408;499;158;156;513;54;TATA-less;TAF1-enriched
YBL041W;PRE7;NA;mRNA;chr02;141215;141195;W;141188;2_mis;64;149;749;500;678;250;194;663;86;TATA-less;TAF1-enriched
YBL042C;FUI1;907;mRNA;chr02;140343;140327;C;140403;0_mis;55;113;1186;193;485;211;259;655;84;TATA-containing;TAF1-depleted
YBL043W;ECM13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL045C;COR1;905;mRNA;chr02;135747;135735;C;135791;1_mis;35;72;164;147;238;122;76;220;30;TATA-less;TAF1-enriched
YBL046W;PSY4;950;mRNA;chr02;132387;132411;W;132367;2_mis;29;42;182;167;211;93;65;256;35;TATA-less;TAF1-enriched
YBL047C;EDE1;939;mRNA;chr02;132204;132223;C;132251;2_mis;33;116;290;181;392;143;100;408;35;TATA-less;TAF1-enriched
YBL049W;MOH1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL050W;SEC17;981;mRNA;chr02;125046;125043;W;125035;2_mis;28;68;240;280;381;164;119;369;36;TATA-less;TAF1-enriched
YBL051C;PIN4;924;mRNA;chr02;124859;124847;C;124892;2_mis;57;154;359;361;463;166;179;510;46;TATA-less;TAF1-enriched
YBL052C;SAS3;NA;mRNA;chr02;122109;122142;C;0;3_mis;22;24;238;131;257;116;91;269;44;TATA-less;TAF1-enriched
YBL054W;TOD6;959;mRNA;chr02;117471;117483;W;117439;1_mis;13;57;315;122;185;78;89;203;39;TATA-less;TAF1-enriched
YBL055C;YBL055C;989;mRNA;chr02;116835;116871;C;116832;1_mis;17;19;264;114;218;97;103;239;45;TATA-less;TAF1-depleted
YBL056W;PTC3;897;mRNA;chr02;113628;113635;W;113619;2_mis;65;207;679;475;731;323;297;873;100;TATA-less;TAF1-enriched
YBL057C;PTH2;947;mRNA;chr02;113458;113439;C;113494;2_mis;22;50;209;173;238;98;76;240;32;TATA-less;TAF1-enriched
YBL058W;SHP1;982;mRNA;chr02;111397;111403;W;111397;0_mis;73;141;440;542;387;186;107;415;78;TATA-containing;TAF1-enriched
YBL059C-A;CMC2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL059W;IAI11;877;mRNA;chr02;110594;110675;W;110587;2_mis;20;114;196;67;252;108;79;287;32;TATA-less;TAF1-depleted
YBL060W;YEL1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL061C;SKT5;918;mRNA;chr02;107529;107511;C;107582;1_mis;34;49;340;230;362;162;126;417;43;TATA-less;TAF1-enriched
YBL063W;KIP1;990;mRNA;chr02;101868;101875;W;101865;1_mis;15;95;118;203;181;101;98;189;45;TATA-less;TAF1-enriched
YBL064C;PRX1;936;mRNA;chr02;101229;101255;C;101246;0_mis;28;124;213;172;265;101;73;207;38;TATA-containing;TAF1-depleted
YBL066C;SEF1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL067C;UBP13;890;mRNA;chr02;96192;96170;C;96216;2_mis;21;101;174;101;223;113;68;283;45;TATA-less;TAF1-enriched
YBL068W;PRS4;889;mRNA;chr02;92233;92349;W;92277;1_mis;6;63;185;133;175;74;97;202;69;TATA-less;TAF1-enriched
YBL069W;AST1;963;mRNA;chr02;90695;90661;W;90634;0_mis;19;57;118;69;145;61;73;145;88;TATA-containing;TAF1-enriched
YBL071W-A;KTI11;940;mRNA;chr02;89919;89901;W;89889;1_mis;46;45;247;254;256;97;80;332;43;TATA-less;TAF1-enriched
YBL072C;RPS8A;977;mRNA;chr02;89491;89497;C;89518;2_mis;231;333;2948;1611;3119;937;692;3173;229;TATA-less;TAF1-enriched
YBL074C;AAR2;1238;mRNA;chr02;87783;87833;C;87811;2_mis;16;52;175;188;174;91;101;209;37;TATA-less;TAF1-enriched
YBL075C;SSA3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL076C;ILS1;940;mRNA;chr02;84307;84289;C;84344;2_mis;73;158;701;314;964;333;239;1023;97;TATA-less;TAF1-enriched
YBL078C;ATG8;945;mRNA;chr02;80800;80833;C;80824;1_mis;26;32;106;86;193;71;63;208;85;TATA-less;TAF1-enriched
YBL079W;NUP170;902;mRNA;chr02;75172;75189;W;75104;1_mis;57;90;376;242;457;155;168;600;62;TATA-less;TAF1-enriched
YBL080C;PET112;856;mRNA;chr02;74774;74737;C;74849;1_mis;17;56;97;179;187;97;58;183;36;TATA-less;TAF1-enriched
YBL081W;YBL081W;973;mRNA;chr02;71552;71549;W;71531;1_mis;15;47;230;148;295;113;95;351;50;TATA-less;TAF1-enriched
YBL082C;ALG3;923;mRNA;chr02;71197;71169;C;71230;2_mis;25;65;101;146;202;99;77;165;48;TATA-less;TAF1-enriched
YBL084C;CDC27;976;mRNA;chr02;69576;69569;C;69584;2_mis;41;92;276;247;446;143;144;407;102;TATA-less;TAF1-enriched
YBL085W;BOI1;952;mRNA;chr02;63698;63646;W;63643;2_mis;28;37;191;130;194;80;70;163;44;TATA-less;TAF1-enriched
YBL086C;YBL086C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL087C;RPL23A;944;mRNA;chr02;60776;60833;C;60812;2_mis;193;327;1644;615;1845;661;358;2164;221;TATA-less;TAF1-enriched
YBL088C;TEL1;950;mRNA;chr02;59596;59737;C;59635;1_mis;20;24;76;67;144;54;107;128;161;TATA-less;TAF1-enriched
YBL089W;AVT5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL090W;MRP21;940;mRNA;chr02;48763;48789;W;48740;1_mis;41;36;173;173;215;96;68;258;33;TATA-less;TAF1-enriched
YBL091C;MAP2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL091C-A;SCS22;938;mRNA;chr02;47221;47252;C;47249;0_mis;20;104;82;214;163;69;409;140;102;TATA-containing;TAF1-enriched
YBL092W;RPL32;971;mRNA;chr02;45580;45629;W;45549;1_mis;145;258;3151;1506;2418;605;423;2584;185;TATA-less;TAF1-enriched
YBL093C;ROX3;963;mRNA;chr02;45028;45001;C;45029;1_mis;35;84;348;274;283;122;108;312;52;TATA-less;TAF1-enriched
YBL095W;MRX3;936;mRNA;chr02;43248;43199;W;43209;1_mis;17;56;73;42;91;46;28;121;64;TATA-less;TAF1-enriched
YBL098W;BNA4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL099W;ATP1;909;mRNA;chr02;36702;36733;W;36672;2_mis;69;117;505;156;654;250;148;780;90;TATA-less;TAF1-enriched
YBL101C;ECM21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL102W;SFT2;971;mRNA;chr02;24013;23981;W;23987;2_mis;33;21;200;77;189;88;84;184;50;TATA-less;TAF1-depleted
YBL103C;RTG3;967;mRNA;chr02;23823;23801;C;23829;1_mis;31;127;196;209;302;134;92;251;44;TATA-less;TAF1-enriched
YBL104C;SEA4;1002;mRNA;chr02;21321;21313;C;21305;1_mis;24;61;190;141;252;112;66;276;34;TATA-less;TAF1-enriched
YBL105C;PKC1;961;mRNA;chr02;17976;17969;C;17998;2_mis;25;89;267;351;313;132;127;340;75;TATA-less;TAF1-enriched
YBL106C;SRO77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBL107C;MIX23;969;mRNA;chr02;10570;10626;C;10576;0_mis;48;57;216;164;220;119;111;285;81;TATA-containing;TAF1-enriched
YBR001C;NTH2;916;mRNA;chr02;241472;241352;C;241502;0_mis;47;89;310;57;470;177;86;497;123;TATA-containing;TAF1-depleted
YBR002C;RER2;941;mRNA;chr02;242624;242608;C;242655;2_mis;49;56;461;366;346;159;125;386;75;TATA-less;TAF1-enriched
YBR003W;COQ1;968;mRNA;chr02;242813;242780;W;242751;2_mis;25;84;112;110;189;101;81;141;65;TATA-less;TAF1-enriched
YBR005W;RCR1;962;mRNA;chr02;245816;245820;W;245785;1_mis;25;72;194;62;267;119;60;367;45;TATA-less;TAF1-depleted
YBR006W;UGA2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBR007C;DSF2;921;mRNA;chr02;251149;251112;C;251179;2_mis;6;59;135;81;143;56;48;168;36;TATA-less;TAF1-depleted
YBR008C;FLR1;965;mRNA;chr02;254451;254560;C;254456;2_mis;19;69;101;80;70;35;31;92;64;TATA-less;TAF1-enriched
YBR009C;HHF1;930;mRNA;chr02;255752;255728;C;255787;0_mis;97;372;1415;96;2580;645;259;2488;134;TATA-containing;TAF1-depleted
YBR010W;HHT1;916;mRNA;chr02;256252;256292;W;256225;0_mis;126;461;2541;245;3058;703;307;2847;158;TATA-containing;TAF1-depleted
YBR011C;IPP1;944;mRNA;chr02;258052;258032;C;258056;2_mis;85;140;890;447;828;280;250;941;92;TATA-less;TAF1-enriched
YBR013C;YBR013C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBR014C;GRX7;955;mRNA;chr02;267437;267407;C;267458;2_mis;20;42;91;57;189;75;34;175;54;TATA-less;TAF1-depleted
YBR015C;MNN2;933;mRNA;chr02;269624;269688;C;269657;1_mis;42;60;324;226;334;167;108;309;51;TATA-less;TAF1-enriched
YBR016W;YBR016W;918;mRNA;chr02;270172;270196;W;270135;0_mis;24;74;490;266;439;182;146;391;55;TATA-containing;TAF1-enriched
YBR017C;KAP104;927;mRNA;chr02;273787;273768;C;273817;1_mis;38;54;286;222;315;126;73;290;46;TATA-less;TAF1-enriched
YBR021W;FUR4;NA;mRNA;chr02;281298;281308;W;281252;1_mis;19;45;282;117;198;76;84;207;26;TATA-less;TAF1-enriched
YBR022W;POA1;945;mRNA;chr02;283659;283660;W;283627;2_mis;19;51;64;50;155;78;96;166;29;TATA-less;TAF1-depleted
YBR023C;CHS3;934;mRNA;chr02;288101;288064;C;288129;1_mis;38;40;345;129;288;103;77;324;43;TATA-less;TAF1-enriched
YBR024W;SCO2;880;mRNA;chr02;289217;289332;W;289239;2_mis;0;56;85;24;122;54;49;115;22;TATA-less;TAF1-enriched
YBR025C;OLA1;805;mRNA;chr02;292022;291984;C;292091;2_mis;136;165;1013;501;1281;482;323;1605;90;TATA-less;TAF1-enriched
YBR026C;ETR1;925;mRNA;chr02;294127;294080;C;294156;2_mis;22;65;148;55;276;103;178;231;55;TATA-less;TAF1-depleted
YBR028C;YPK3;931;mRNA;chr02;296099;296160;C;296121;1_mis;33;30;219;183;186;83;73;188;49;TATA-less;TAF1-enriched
YBR029C;CDS1;897;mRNA;chr02;297839;297880;C;297874;2_mis;56;162;384;440;505;197;184;507;66;TATA-less;TAF1-enriched
YBR030W;RKM3;942;mRNA;chr02;298207;298148;W;298171;1_mis;15;24;115;105;146;58;40;188;38;TATA-less;TAF1-enriched
YBR031W;RPL4A;910;mRNA;chr02;300109;300091;W;300066;0_mis;244;251;3183;574;3319;1021;773;3546;216;TATA-containing;TAF1-depleted
YBR033W;EDS1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YBR034C;HMT1;929;mRNA;chr02;306040;306015;C;306064;0_mis;54;104;464;203;569;191;131;611;74;TATA-containing;TAF1-depleted
